"Season","Name","Team","G","AB","PA","H","R","RBI","HR","BB","SO","IBB","AVG","OBP","SLG","OPS","wRC+","WAR","OBP+","TTO%","playerid"
"1995","Larry Walker","Rockies","131","494","562","151","96","101","36","49","72","13",".306",".381",".607",".988","129","4.6","112","27.9 %","455"
"1998","Eric Davis","Orioles","131","452","508","148","81","89","28","44","108","0",".327",".388",".582",".970","151","3.2","114","35.4 %","1003048"
"2000","Bobby Abreu","Phillies","154","576","680","182","103","79","25","100","116","9",".316",".416",".554",".970","143","6.9","119","35.4 %","945"
"2007","David Wright","Mets","160","604","711","196","113","107","30","94","115","6",".325",".416",".546",".963","151","8.4","122","33.6 %","3787"
"1997","Manny Ramirez","Indians","150","561","651","184","99","88","26","79","115","5",".328",".415",".538",".953","148","4.6","122","33.8 %","210"
"2015","Miguel Cabrera","Tigers","119","429","511","145","64","76","18","77","82","15",".338",".440",".534",".974","164","4.6","138","34.6 %","1744"
"2004","Bobby Abreu","Phillies","159","574","713","173","118","105","30","127","116","10",".301",".428",".544",".971","148","5.7","125","38.3 %","945"
"2012","Ryan Braun","Brewers","154","598","677","191","108","112","41","63","128","15",".319",".391",".595",".987","159","6.8","120","34.3 %","3410"
"1999","Jim Thome","Indians","146","494","629","137","101","108","33","127","171","13",".277",".426",".540",".967","142","4.2","123","52.6 %","409"
"2016","Joey Votto","Reds","158","556","677","181","101","97","29","108","120","15",".326",".434",".550",".985","158","5.2","132","38.0 %","4314"
"2001","Brian Giles","Pirates","160","576","674","178","116","95","37","90","67","14",".309",".404",".590",".994","150","5.5","119","28.8 %","990"
"2009","Kevin Youkilis","Red Sox","136","491","588","150","99","94","27","77","125","6",".305",".413",".548",".961","147","5.9","123","39.0 %","1935"
"2011","Matt Kemp","Dodgers","161","602","689","195","115","126","39","74","159","24",".324",".399",".586",".986","168","8.3","122","39.5 %","5631"
"1996","Manny Ramirez","Indians","152","550","647","170","94","112","33","85","104","8",".309",".399",".582",".981","140","4.3","114","34.3 %","210"
"2010","Carlos Gonzalez","Rockies","145","587","636","197","111","117","34","40","135","8",".336",".376",".598",".974","144","5.7","113","32.9 %","7287"
"2009","Derrek Lee","Cubs","141","532","615","163","91","111","35","76","109","6",".306",".393",".579",".972","150","5.2","116","35.8 %","525"
"1995","Manny Ramirez","Indians","137","484","571","149","85","107","31","75","112","6",".308",".402",".558",".960","145","3.2","117","38.2 %","210"
"1999","Roberto Alomar","Indians","159","563","694","182","138","120","24","99","96","3",".323",".422",".533",".955","142","7.3","121","31.6 %","860"
"2003","Trot Nixon","Red Sox","134","441","513","135","81","87","28","65","96","4",".306",".396",".578",".975","152","5.0","119","36.8 %","204"
"2007","Jim Thome","White Sox","130","432","536","119","79","96","35","95","134","11",".275",".410",".563",".973","150","3.4","121","49.3 %","409"
"2002","Chipper Jones","Braves","158","548","662","179","90","100","26","107","89","23",".327",".435",".536",".972","153","5.9","128","33.5 %","97"
