"Season","Name","Team","G","AB","PA","H","R","RBI","HR","BB","SO","IBB","AVG","OBP","SLG","OPS","wRC+","WAR","OBP+","TTO%","playerid"
"2010","Billy Butler","Royals","158","595","678","189","77","78","15","69","78","8",".318",".388",".469",".857","133","2.1","118","23.9 %","7399"
"2007","Victor Martinez","Indians","147","562","645","169","78","114","25","62","76","12",".301",".374",".505",".879","129","5.4","110","25.3 %","393"
"2007","Frank Thomas","Blue Jays","155","531","624","147","63","95","26","81","94","3",".277",".377",".480",".857","127","1.8","111","32.2 %","255"
"2016","Edwin Encarnacion","Blue Jays","160","601","702","158","99","127","42","87","138","3",".263",".357",".529",".886","136","4.0","111","38.0 %","2151"
"2004","Javy Lopez","Orioles","150","579","638","183","83","86","23","47","97","4",".316",".370",".503",".872","127","4.4","109","26.2 %","103"
"2008","Troy Glaus","Cardinals","151","544","637","147","69","99","27","87","104","3",".270",".372",".483",".856","128","4.8","110","34.2 %","15"
"2002","Nomar Garciaparra","Red Sox","156","635","693","197","101","120","24","41","63","4",".310",".352",".528",".880","127","4.8","106","18.5 %","190"
"2008","Curtis Granderson","Tigers","141","553","629","155","112","66","22","71","111","1",".280",".365",".494",".858","127","4.1","108","32.4 %","4747"
"2017","Edwin Encarnacion","Indians","157","554","669","143","96","107","38","104","133","5",".258",".377",".504",".881","130","2.3","116","41.1 %","2151"
"2018","Xander Bogaerts","Red Sox","136","513","580","148","72","103","23","55","102","4",".288",".360",".522",".883","133","4.9","113","31.0 %","12161"
"2001","Scott Rolen","Phillies","151","554","653","160","96","107","25","74","127","6",".289",".378",".498",".876","126","5.6","111","34.6 %","970"
"2014","Justin Morneau","Rockies","135","502","550","160","62","82","17","34","60","4",".319",".364",".496",".860","122","2.3","114","20.2 %","1737"
"2002","Steve Finley","Diamondbacks","150","505","577","145","82","89","25","65","73","7",".287",".370",".499",".869","122","4.2","109","28.3 %","54"
"2004","Brad Wilkerson","Expos","160","572","688","146","112","67","32","106","152","8",".255",".374",".498",".872","121","5.0","109","42.2 %","804"
"1996","Mark Grace","Cubs","142","547","616","181","88","75","9","62","41","8",".331",".396",".455",".851","127","3.9","117","18.2 %","56"
"1997","Moises Alou","Marlins","150","538","619","157","88","115","23","70","85","9",".292",".373",".493",".866","127","3.3","109","28.8 %","261"
"2010","Corey Hart","Brewers","145","558","614","158","91","102","31","45","140","2",".283",".340",".525",".865","130","2.9","103","35.2 %","1945"
"2008","Geovany Soto","Cubs","141","494","563","141","66","86","23","62","121","6",".285",".364",".504",".868","120","3.5","107","36.6 %","3707"
"2001","Carlos Beltran","Royals","155","617","680","189","106","101","24","52","120","2",".306",".362",".514",".876","122","5.4","108","28.8 %","589"
"2001","Richie Sexson","Brewers","158","598","667","162","94","125","45","60","178","5",".271",".342",".547",".889","124","2.9","101","42.4 %","709"
"1996","Dean Palmer","Rangers","154","582","652","163","98","107","38","59","145","4",".280",".348",".527",".876","113","3.0","99","37.1 %","482"
"1997","Carlos Delgado","Blue Jays","153","519","595","136","79","91","30","64","133","9",".262",".350",".528",".878","122","1.8","103","38.2 %","1297"
"2004","Johnny Damon","Red Sox","150","621","702","189","123","94","20","76","71","1",".304",".380",".477",".857","123","4.3","112","23.8 %","185"
"2008","Jack Cust","Athletics","148","481","598","111","77","77","33","111","197","3",".231",".375",".476",".851","131","2.2","111","57.0 %","1564"
"1996","Paul Molitor","Twins","161","660","729","225","99","113","9","56","72","10",".341",".390",".468",".858","114","2.5","111","18.8 %","1009040"
"1999","Johnny Damon","Royals","145","583","660","179","101","77","14","67","50","5",".307",".379",".477",".856","114","4.3","109","19.9 %","185"
"2005","Matt Holliday","Rockies","125","479","526","147","68","87","19","36","79","1",".307",".361",".505",".866","116","2.6","107","25.5 %","1873"
"2015","Matt Carpenter","Cardinals","154","574","665","156","101","84","28","81","151","5",".272",".365",".505",".871","139","5.3","113","39.1 %","8090"
"2003","Hank Blalock","Rangers","143","567","615","170","89","90","29","44","97","1",".300",".350",".522",".872","122","4.8","105","27.6 %","1419"
"2015","J.D. Martinez","Tigers","158","596","657","168","93","102","38","53","178","7",".282",".344",".535",".879","136","5.2","108","40.9 %","6184"
"2009","Johnny Damon","Yankees","143","550","626","155","107","82","24","71","98","1",".282",".365",".489",".854","122","3.6","109","30.8 %","185"
"2016","Corey Seager","Dodgers","157","627","687","193","105","72","26","54","133","5",".308",".365",".512",".877","136","6.9","111","31.0 %","13624"
"2000","Greg Vaughn","Devil Rays","127","461","545","117","83","74","28","80","128","3",".254",".365",".499",".864","116","2.2","105","43.3 %","1233"
"1999","Tony Clark","Tigers","143","536","609","150","74","99","31","64","133","7",".280",".361",".507",".869","117","2.9","104","37.4 %","182"
"2017","Domingo Santana","Brewers","151","525","607","146","88","85","30","73","178","2",".278",".371",".505",".875","127","3.3","111","46.3 %","10348"
"1998","Ellis Burks","- - -","142","504","582","147","76","76","21","58","111","1",".292",".365",".496",".861","110","1.6","107","32.7 %","372"
"2003","Derek Jeter","Yankees","119","482","542","156","87","52","10","43","88","2",".324",".393",".450",".844","129","4.1","118","26.0 %","826"
"2001","John Olerud","Mariners","159","572","679","173","91","95","21","94","70","19",".302",".401",".472",".873","132","4.6","120","27.3 %","1093"
"2009","Justin Morneau","Twins","135","508","590","139","85","100","30","72","86","12",".274",".363",".516",".878","126","3.3","108","31.9 %","1737"
"2007","Placido Polanco","Tigers","142","587","641","200","105","67","9","37","30","3",".341",".388",".458",".846","125","5.3","115","11.9 %","1176"
"2003","Garret Anderson","Angels","159","638","673","201","80","116","29","31","83","10",".315",".345",".541",".885","129","5.1","103","21.3 %","2"
"2013","Jose Bautista","Blue Jays","118","452","528","117","82","73","28","69","84","2",".259",".358",".498",".856","135","4.1","112","34.3 %","1887"
"1999","Omar Vizquel","Indians","144","574","664","191","112","66","5","65","50","0",".333",".397",".436",".833","115","6.0","114","18.1 %","411"
"2002","Richie Sexson","Brewers","157","570","652","159","86","102","29","70","136","7",".279",".363",".504",".867","126","2.9","107","36.0 %","709"
"1999","Rondell White","Expos","138","539","588","168","83","64","22","32","85","2",".312",".359",".505",".863","115","3.1","102","23.6 %","856"
"2001","Jeff Kent","Giants","159","607","696","181","84","106","22","65","96","4",".298",".369",".507",".877","128","4.9","109","26.3 %","1119"
"2012","Austin Jackson","Tigers","137","543","617","163","103","66","16","67","134","0",".300",".377",".479",".856","134","5.1","118","35.2 %","9848"
"2008","Prince Fielder","Brewers","159","588","694","162","86","102","34","84","134","19",".276",".372",".507",".879","125","1.3","110","36.3 %","4613"
"2009","Andre Ethier","Dodgers","160","596","685","162","92","106","31","72","116","10",".272",".361",".508",".869","129","2.2","106","32.0 %","6265"
"2007","Carlos Lee","Astros","162","627","697","190","93","119","32","53","63","10",".303",".354",".528",".882","123","2.6","104","21.2 %","243"
"2016","Adrian Beltre","Rangers","153","583","640","175","89","104","32","48","66","6",".300",".358",".521",".879","127","5.5","111","22.8 %","639"
"1999","Paul Konerko","White Sox","142","513","564","151","71","81","24","45","68","0",".294",".352",".511",".862","117","1.9","101","24.3 %","242"
"2003","Mike Lowell","Marlins","130","492","557","136","76","105","32","56","78","6",".276",".350",".530",".881","128","4.1","103","29.8 %","527"
"2016","Jean Segura","Diamondbacks","153","637","694","203","102","64","20","39","101","1",".319",".368",".499",".867","126","5.0","111","23.1 %","5933"
"2015","Nolan Arenado","Rockies","157","616","665","177","97","130","42","34","110","13",".287",".323",".575",".898","121","4.5","100","28.0 %","9777"
"2017","Justin Smoak","Blue Jays","158","560","637","151","85","90","38","73","128","3",".270",".355",".529",".883","133","3.6","109","37.5 %","9054"
"1997","Scott Rolen","Phillies","156","561","657","159","93","92","21","76","138","4",".283",".377",".469",".846","121","4.2","110","35.8 %","970"
"2000","Corey Koskie","Twins","146","474","559","142","79","65","9","77","104","7",".300",".400",".441",".841","114","2.6","114","34.0 %","738"
"2001","Derek Jeter","Yankees","150","614","686","191","110","74","21","56","99","3",".311",".377",".480",".858","130","4.2","113","25.7 %","826"
"2007","Jimmy Rollins","Phillies","162","716","778","212","139","94","30","49","85","5",".296",".344",".531",".875","119","6.5","101","21.1 %","971"
"1998","Rusty Greer","Rangers","155","598","691","183","107","108","16","80","93","1",".306",".386",".455",".841","117","3.2","114","27.4 %","1252"
"2015","A.J. Pollock","Diamondbacks","157","609","673","192","111","76","20","53","89","0",".315",".367",".498",".865","131","6.8","113","24.1 %","9256"
"2000","Roberto Alomar","Indians","155","610","697","189","111","89","19","64","82","4",".310",".378",".475",".853","114","5.0","108","23.7 %","860"
"2007","Derek Jeter","Yankees","156","639","714","206","102","73","12","56","100","3",".322",".388",".452",".840","125","3.6","115","23.5 %","826"
"2014","Buster Posey","Giants","147","547","605","170","72","89","22","47","69","5",".311",".364",".490",".854","142","7.8","114","22.8 %","9166"
"2008","Justin Morneau","Twins","163","623","712","187","97","129","23","76","85","16",".300",".374",".499",".873","128","3.3","111","25.8 %","1737"
"2002","Miguel Tejada","Athletics","162","662","715","204","108","131","34","38","84","3",".308",".354",".508",".861","129","4.5","107","21.8 %","941"
"2015","Kris Bryant","Cubs","151","559","650","154","87","99","26","77","199","0",".275",".369",".488",".858","136","6.1","114","46.5 %","15429"
"2002","Edgardo Alfonzo","Mets","135","490","562","151","78","56","16","62","55","8",".308",".391",".459",".851","129","5.3","115","23.7 %","859"
"2012","Paul Konerko","White Sox","144","533","598","159","66","75","26","56","83","4",".298",".371",".486",".857","132","2.1","116","27.6 %","242"
"1997","Jason Giambi","Athletics","142","519","588","152","66","81","20","55","89","3",".293",".362",".495",".857","123","1.7","106","27.9 %","818"
"1998","Derek Bell","Astros","156","630","695","198","111","108","22","51","126","0",".314",".364",".490",".855","129","5.7","107","28.6 %","1000801"
"2008","Jim Thome","White Sox","149","503","602","123","93","90","34","91","147","9",".245",".362",".503",".865","122","1.7","108","45.2 %","409"
"2004","Lyle Overbay","Brewers","159","579","668","174","83","87","16","81","128","9",".301",".385",".478",".863","123","2.2","113","33.7 %","1617"
"2004","Mike Lowell","Marlins","158","598","671","175","87","85","27","64","77","8",".293",".365",".505",".870","127","4.0","107","25.0 %","527"
"1999","Mo Vaughn","Angels","139","524","592","147","63","108","33","54","127","7",".281",".358",".508",".866","115","1.9","103","36.2 %","899"
"2008","Evan Longoria","Rays","122","448","508","122","67","85","27","46","122","4",".272",".343",".531",".874","128","5.7","102","38.4 %","9368"
"1998","Tony Fernandez","Blue Jays","138","486","551","156","71","72","9","45","53","5",".321",".387",".459",".846","120","2.5","114","19.4 %","1004002"
"2015","Manny Machado","Orioles","162","633","713","181","102","86","35","70","111","2",".286",".359",".502",".861","135","6.6","113","30.3 %","11493"
"1996","Sammy Sosa","Cubs","124","498","541","136","84","100","40","34","134","6",".273",".323",".564",".888","125","5.5","95","38.5 %","302"
"2016","Robinson Cano","Mariners","161","655","715","195","107","103","39","47","100","8",".298",".350",".533",".882","139","6.3","109","26.0 %","3269"
"2003","Jay Payton","Rockies","157","600","658","181","93","89","28","43","77","3",".302",".354",".512",".865","109","1.2","104","22.5 %","890"
"1998","Scott Brosius","Yankees","152","530","603","159","86","98","19","52","97","1",".300",".371",".472",".843","123","5.0","109","27.9 %","1001477"
"2003","Brad Wilkerson","Expos","146","504","602","135","78","77","19","89","155","0",".268",".380",".464",".844","120","3.9","112","43.7 %","804"
"1998","Tony Gwynn","Padres","127","461","505","148","65","69","16","35","18","6",".321",".364",".501",".865","130","1.2","107","13.7 %","1005166"
"2000","Luis Castillo","Marlins","136","539","626","180","101","17","2","78","86","0",".334",".418",".388",".806","119","3.8","119","26.5 %","513"
"2016","Brian Dozier","Twins","155","615","691","165","104","99","42","61","138","6",".268",".340",".546",".886","132","6.3","106","34.9 %","9810"
"2016","Carlos Santana","Indians","158","582","688","151","89","87","34","99","99","0",".259",".366",".498",".865","130","3.3","114","33.7 %","2396"
"2014","Nelson Cruz","Orioles","159","613","678","166","87","108","40","55","140","8",".271",".333",".525",".859","137","3.9","105","34.7 %","2434"
"2006","Victor Martinez","Indians","153","572","652","181","82","93","16","71","78","8",".316",".391",".465",".856","123","2.8","115","25.3 %","393"
"2002","Scott Rolen","- - -","155","580","667","154","89","110","31","72","102","4",".266",".357",".503",".860","127","6.5","105","30.7 %","970"
"1996","Terry Steinbach","Athletics","145","514","571","140","79","100","35","49","115","5",".272",".342",".529",".871","117","3.9","97","34.9 %","1012473"
"2018","Joey Votto","Reds","145","503","623","143","67","67","12","108","101","6",".284",".417",".419",".837","131","3.5","128","35.5 %","4314"
"1996","Henry Rodriguez","Expos","145","532","576","147","81","103","36","37","160","7",".276",".325",".562",".887","125","2.2","96","40.5 %","1427"
"2010","Chase Utley","Phillies","115","425","511","117","75","65","16","63","63","3",".275",".387",".445",".832","128","5.2","117","27.8 %","1679"
"1996","Hal Morris","Reds","142","528","594","165","82","80","16","50","76","5",".313",".374",".479",".853","125","2.6","110","23.9 %","1009209"
"1999","Matt Williams","Diamondbacks","154","627","678","190","98","142","35","41","93","9",".303",".344",".536",".880","112","4.0","98","24.9 %","77"
"2006","Gary Matthews Jr.","Rangers","147","620","690","194","102","79","19","58","99","5",".313",".371",".495",".866","118","3.9","109","25.5 %","153"
"2004","Jeff Kent","Astros","145","540","606","156","96","107","27","49","96","3",".289",".348",".531",".880","121","4.2","102","28.4 %","1119"
"2003","Steve Finley","Diamondbacks","147","516","582","148","82","70","22","57","94","4",".287",".363",".500",".863","117","3.4","106","29.7 %","54"
"2014","Matt Kemp","Dodgers","150","541","599","155","77","89","25","52","145","3",".287",".346",".506",".852","141","2.5","108","37.1 %","5631"
"2006","Nick Swisher","Athletics","157","556","672","141","106","95","35","97","152","7",".254",".372",".493",".864","124","3.9","109","42.3 %","4599"
"2011","Michael Young","Rangers","159","631","689","213","88","106","11","47","78","7",".338",".380",".474",".854","127","3.2","118","19.7 %","1286"
"2008","Adrian Gonzalez","Padres","162","616","700","172","103","119","36","74","142","18",".279",".361",".510",".871","131","3.1","107","36.0 %","1908"
"2013","Brandon Moss","Athletics","145","446","505","114","73","87","30","50","140","3",".256",".337",".522",".859","137","2.4","105","43.6 %","4467"
"2010","Mark Teixeira","Yankees","158","601","712","154","113","108","33","93","122","6",".256",".365",".481",".846","128","3.5","111","34.8 %","1281"
"2010","Scott Rolen","Reds","133","471","537","134","66","83","20","50","82","3",".285",".358",".497",".854","126","4.5","108","28.3 %","970"
"2002","Paul Konerko","White Sox","151","570","630","173","81","104","27","44","72","2",".304",".359",".498",".857","124","1.8","108","22.7 %","242"
"2009","Billy Butler","Royals","159","608","672","183","78","93","21","58","103","3",".301",".362",".492",".853","122","1.8","108","27.1 %","7399"
"2010","Hanley Ramirez","Marlins","142","543","619","163","92","76","21","64","93","12",".300",".378",".475",".853","127","4.1","114","28.8 %","8001"
"2007","Carlos Beltran","Mets","144","554","636","153","93","112","33","69","111","10",".276",".353",".525",".878","122","5.1","103","33.5 %","589"
"2011","Josh Hamilton","Rangers","121","487","538","145","80","94","25","39","93","13",".298",".346",".536",".882","127","4.0","107","29.2 %","1875"
"2008","Bobby Abreu","Yankees","156","609","684","180","100","100","20","73","109","2",".296",".371",".471",".843","125","1.6","110","29.5 %","945"
"2018","Matt Chapman","Athletics","145","547","616","152","100","68","24","58","146","0",".278",".356",".508",".864","137","6.5","112","37.0 %","16505"
"2003","Doug Mientkiewicz","Twins","142","487","574","146","67","65","11","74","55","4",".300",".393",".450",".843","125","3.7","118","24.4 %","741"
"2005","Jason Varitek","Red Sox","133","470","539","132","70","70","22","62","117","3",".281",".366",".489",".856","124","3.5","111","37.3 %","217"
"2016","Yoenis Cespedes","Mets","132","479","543","134","72","86","31","51","108","8",".280",".354",".530",".884","136","3.7","107","35.0 %","13110"
"1999","Craig Biggio","Astros","160","639","749","188","123","73","16","88","107","9",".294",".386",".457",".843","120","4.9","110","28.2 %","549"
"2014","David Ortiz","Red Sox","142","518","602","136","59","104","35","75","95","22",".263",".355",".517",".873","134","2.2","112","34.1 %","745"
"1997","Jason Kendall","Pirates","144","486","572","143","71","49","8","49","53","2",".294",".391",".434",".825","119","4.5","114","19.2 %","993"
"2009","Michael Cuddyer","Twins","153","588","650","162","93","94","32","54","118","3",".276",".342",".520",".862","124","2.5","102","31.4 %","1534"
"2005","Derek Jeter","Yankees","159","654","752","202","122","70","19","77","117","3",".309",".389",".450",".839","129","4.4","118","28.3 %","826"
"2007","Hideki Matsui","Yankees","143","547","634","156","100","103","25","73","73","2",".285",".367",".488",".855","124","2.9","108","27.0 %","1659"
"2003","Nomar Garciaparra","Red Sox","156","658","719","198","120","105","28","39","61","1",".301",".345",".524",".870","124","5.8","103","17.8 %","190"
"2001","Jose Vidro","Expos","124","486","531","155","82","59","15","31","49","2",".319",".371",".486",".856","118","2.5","109","17.9 %","802"
"2017","Eric Thames","Brewers","138","469","551","116","83","63","31","75","163","5",".247",".359",".518",".877","125","2.1","108","48.8 %","3711"
"1998","Tino Martinez","Yankees","142","531","608","149","92","123","28","61","83","3",".281",".355",".505",".860","122","3.3","104","28.3 %","1168"
"2005","Hideki Matsui","Yankees","162","629","704","192","108","116","23","63","78","7",".305",".367",".496",".863","128","2.5","111","23.3 %","1659"
"2008","Johnny Damon","Yankees","143","555","623","168","95","71","17","64","82","0",".303",".375",".461",".836","125","3.8","112","26.2 %","185"
"2011","Victor Martinez","Tigers","145","540","595","178","76","103","12","46","51","6",".330",".380",".470",".850","130","1.8","118","18.3 %","393"
"2010","Colby Rasmus","Cardinals","144","464","534","128","85","66","23","63","148","9",".276",".361",".498",".859","130","3.9","109","43.8 %","9893"
"1995","Bernard Gilkey","Cardinals","121","480","531","143","73","69","17","42","70","3",".298",".358",".490",".848","124","2.8","105","24.3 %","1004706"
"1995","Wally Joyner","Royals","131","465","550","144","69","83","12","69","65","10",".310",".394",".447",".842","117","2.0","115","26.6 %","1006637"
"2003","Corey Koskie","Twins","131","469","562","137","76","69","14","77","113","5",".292",".393",".452",".845","125","4.9","118","36.3 %","738"
"2012","David Murphy","Rangers","147","457","521","139","65","61","15","54","74","7",".304",".380",".479",".859","129","3.4","118","27.5 %","6035"
"2003","Rafael Palmeiro","Rangers","154","561","654","146","92","112","38","84","77","9",".260",".359",".508",".867","119","2.7","108","30.4 %","1266"
"2010","Carl Crawford","Rays","154","600","663","184","110","90","19","46","104","3",".307",".356",".495",".851","134","7.8","109","25.5 %","1201"
"2007","Russell Martin","Dodgers","151","540","620","158","87","87","19","67","89","1",".293",".374",".469",".843","122","5.5","109","28.2 %","4616"
"2006","Nomar Garciaparra","Dodgers","122","469","523","142","82","93","20","42","30","9",".303",".367",".505",".872","122","2.0","107","17.6 %","190"
"2007","Ken Griffey Jr.","Reds","144","528","623","146","78","93","30","85","99","14",".277",".372",".496",".869","116","-0.6","109","34.4 %","327"
"2007","Gary Sheffield","Tigers","133","494","593","131","107","75","25","84","71","2",".265",".378",".462",".839","123","3.0","112","30.4 %","114"
"2005","Randy Winn","- - -","160","617","683","189","85","63","20","48","91","4",".306",".360",".499",".859","127","5.1","108","23.3 %","1235"
"1998","Ken Caminiti","Padres","131","452","536","114","87","82","29","71","108","4",".252",".353",".509",".862","129","2.6","104","38.8 %","1001863"
"2000","Mo Vaughn","Angels","161","614","712","167","93","117","36","79","181","11",".272",".365",".498",".864","114","1.9","105","41.6 %","899"
"1997","Chipper Jones","Braves","157","597","679","176","100","111","21","76","88","8",".295",".371",".479",".850","122","3.7","108","27.3 %","97"
"2018","Francisco Lindor","Indians","158","661","745","183","129","92","38","70","107","7",".277",".352",".519",".871","130","7.6","110","28.9 %","12916"
"2014","Jonathan Lucroy","Brewers","153","585","655","176","73","69","13","66","71","3",".301",".373",".465",".837","133","8.1","116","22.9 %","7870"
"2007","Garrett Atkins","Rockies","157","605","684","182","83","111","25","67","96","3",".301",".367",".486",".853","112","2.1","107","27.5 %","1790"
"2018","David Peralta","Diamondbacks","146","560","614","164","75","87","30","48","124","4",".293",".352",".516",".868","130","3.8","108","32.9 %","2136"
"1997","Edgardo Alfonzo","Mets","151","518","599","163","84","72","10","63","56","0",".315",".391",".432",".823","125","5.6","114","21.5 %","859"
"2008","Alfonso Soriano","Cubs","109","453","503","127","76","75","29","43","103","11",".280",".344",".532",".876","117","3.8","101","34.8 %","847"
"2013","Adam Lind","Blue Jays","143","465","521","134","67","67","23","51","103","5",".288",".357",".497",".854","132","1.6","111","34.0 %","8027"
"2010","Ryan Howard","Phillies","143","550","620","152","87","108","31","59","157","11",".276",".353",".505",".859","127","0.9","106","39.8 %","2154"
"2006","Michael Cuddyer","Twins","150","557","635","158","102","109","24","62","130","5",".284",".362",".504",".867","123","3.1","107","34.0 %","1534"
"2003","Jeff Kent","Astros","130","505","552","150","77","93","22","39","85","2",".297",".351",".509",".860","120","3.3","103","26.5 %","1119"
"2004","Phil Nevin","Padres","147","547","623","158","78","105","26","66","121","5",".289",".368",".492",".859","129","2.5","108","34.2 %","1049"
"2009","Russell Branyan","Mariners","116","431","505","108","64","76","31","58","149","6",".251",".347",".520",".867","126","2.7","103","47.1 %","370"
"1998","Javy Lopez","Braves","133","489","534","139","73","106","34","30","85","1",".284",".328",".540",".868","123","3.8","97","27.9 %","103"
"2013","Giancarlo Stanton","Marlins","116","425","504","106","62","62","24","74","140","5",".249",".365",".480",".845","137","2.9","113","47.2 %","4949"
"1996","Marty Cordova","Twins","145","569","640","176","97","111","16","53","96","4",".309",".371",".478",".849","112","2.2","106","25.8 %","132"
"1995","Fred McGriff","Braves","144","528","604","148","85","93","27","65","99","6",".280",".361",".489",".850","121","2.2","106","31.6 %","293"
"1997","Bobby Bonilla","Marlins","153","562","648","167","77","96","17","73","94","8",".297",".378",".468",".846","124","2.6","110","28.4 %","1001168"
"2011","Shane Victorino","Phillies","132","519","586","145","95","61","17","55","63","1",".279",".355",".491",".847","132","5.6","109","23.0 %","1677"
"2010","Andre Ethier","Dodgers","139","517","585","151","71","82","23","59","102","11",".292",".364",".493",".857","132","1.9","110","31.5 %","6265"
"2015","Michael Brantley","Indians","137","529","596","164","68","84","15","60","51","8",".310",".379",".480",".859","133","3.5","119","21.1 %","4106"
"1997","Alex Rodriguez","Mariners","141","587","638","176","100","84","23","41","99","1",".300",".350",".496",".846","119","4.3","103","25.6 %","1274"
"2018","Charlie Blackmon","Rockies","156","626","696","182","119","70","29","59","134","2",".291",".358",".502",".860","116","2.8","110","31.9 %","7859"
"2010","Rickie Weeks Jr.","Brewers","160","651","754","175","112","83","29","76","184","0",".269",".366",".464",".830","127","5.9","110","38.3 %","1849"
"2012","Yoenis Cespedes","Athletics","129","487","540","142","70","82","23","43","102","5",".292",".356",".505",".861","136","4.0","111","31.1 %","13110"
"2017","Gary Sanchez","Yankees","122","471","525","131","79","90","33","40","120","1",".278",".345",".531",".876","129","4.3","106","36.8 %","11442"
"2014","Carlos Gomez","Brewers","148","574","644","163","95","73","23","47","141","0",".284",".356",".477",".833","132","5.7","111","32.8 %","4881"
"2008","Ryan Howard","Phillies","162","610","700","153","105","146","48","81","199","17",".251",".339",".543",".881","120","2.8","100","46.9 %","2154"
"2016","Christian Yelich","Marlins","155","578","659","172","78","98","21","72","138","4",".298",".376",".483",".859","134","5.4","114","35.1 %","11477"
"2001","Mark Grace","Diamondbacks","145","476","553","142","66","78","15","67","36","6",".298",".386",".466",".852","118","2.6","114","21.3 %","56"
"2016","Hanley Ramirez","Red Sox","147","549","620","157","81","111","30","60","120","5",".286",".361",".505",".866","127","3.0","112","33.9 %","8001"
"1996","Fred McGriff","Braves","159","617","691","182","81","107","28","68","116","12",".295",".365",".494",".859","123","2.8","108","30.7 %","293"
"2001","Doug Mientkiewicz","Twins","151","543","626","166","77","74","15","67","92","6",".306",".387",".464",".851","123","2.5","116","27.8 %","741"
"2009","Ichiro Suzuki","Mariners","146","639","678","225","88","46","11","32","71","15",".352",".386",".465",".851","125","5.5","115","16.8 %","1101"
"2015","Yoenis Cespedes","- - -","159","633","676","184","101","105","35","33","141","5",".291",".328",".542",".870","135","5.8","102","30.9 %","13110"
"2000","Paul Konerko","White Sox","143","524","586","156","84","97","21","47","72","0",".298",".363",".481",".844","113","1.6","104","23.9 %","242"
"2013","Mike Napoli","Red Sox","139","498","578","129","79","92","23","73","187","3",".259",".360",".482",".842","128","3.4","112","49.0 %","3057"
"1995","Kevin Seitzer","Brewers","132","492","570","153","56","69","5","64","57","2",".311",".395",".421",".815","115","2.5","115","22.1 %","1011730"
"1995","Derek Bell","Astros","112","452","499","151","63","86","8","33","71","2",".334",".385",".442",".827","127","1.8","113","22.4 %","1000801"
"2016","Dexter Fowler","Cubs","125","456","551","126","84","48","13","79","124","0",".276",".393",".447",".840","129","4.6","119","39.2 %","4062"
"2011","Evan Longoria","Rays","133","483","574","118","78","99","31","80","93","6",".244",".355",".495",".850","136","6.3","110","35.5 %","9368"
"1997","Dante Bichette","Rockies","151","561","602","173","81","118","26","30","90","1",".308",".343",".510",".853","97","0.4","100","24.3 %","1000946"
"1995","David Justice","Braves","120","411","491","104","73","78","24","73","68","5",".253",".365",".479",".844","120","3.5","107","33.6 %","923"
"2006","Troy Glaus","Blue Jays","153","540","634","136","105","104","38","86","134","6",".252",".355",".513",".868","119","3.4","104","40.7 %","15"
"1999","Magglio Ordonez","White Sox","157","624","677","188","100","117","30","47","64","4",".301",".349",".510",".858","114","5.5","100","20.8 %","248"
"2004","Derrek Lee","Cubs","161","605","688","168","90","98","32","68","128","4",".278",".356",".504",".860","119","2.8","104","33.1 %","525"
"2005","Miguel Tejada","Orioles","162","654","704","199","89","98","26","40","83","9",".304",".349",".515",".865","126","4.7","106","21.2 %","941"
"2005","Victor Martinez","Indians","147","547","622","167","73","80","20","63","78","9",".305",".378",".475",".853","128","4.7","114","25.9 %","393"
"2018","Mitch Haniger","Mariners","157","596","683","170","90","93","26","70","148","4",".285",".366",".493",".859","138","4.6","115","35.7 %","14274"
"2007","Ryan Garko","Indians","138","484","541","140","62","61","21","34","94","1",".289",".359",".483",".842","124","0.5","106","27.5 %","6319"
"2007","Casey Kotchman","Angels","137","443","508","131","64","68","11","53","43","1",".296",".372",".467",".840","123","2.7","110","21.1 %","1930"
"2018","Javier Baez","Cubs","160","606","645","176","101","111","34","29","167","8",".290",".326",".554",".881","131","5.3","100","35.7 %","12979"
"1998","Dmitri Young","Reds","144","536","590","166","81","83","14","47","94","4",".310",".364",".481",".846","119","2.5","107","26.3 %","505"
"1999","Doug Glanville","Phillies","150","628","692","204","101","73","11","48","82","1",".325",".376",".457",".833","111","4.5","107","20.4 %","956"
"2002","Fred McGriff","Cubs","146","523","595","143","67","103","30","63","99","6",".273",".353",".505",".858","125","2.4","104","32.3 %","293"
"1996","Jeff Conine","Marlins","157","597","670","175","84","95","26","62","121","1",".293",".360",".484",".844","124","4.4","106","31.2 %","131"
"2016","Manny Machado","Orioles","157","640","696","188","105","96","37","48","120","9",".294",".343",".533",".876","131","6.3","107","29.5 %","11493"
"2007","Alex Rios","Blue Jays","161","643","711","191","114","85","24","55","103","3",".297",".354",".498",".852","122","5.2","105","25.6 %","2090"
"1998","Mike Stanley","- - -","145","497","593","127","74","79","29","82","129","5",".256",".364",".481",".845","117","1.9","107","40.5 %","1012416"
"2005","Cliff Floyd","Mets","150","550","626","150","85","98","34","63","98","13",".273",".358",".505",".863","124","3.7","106","31.2 %","518"
"1995","Mike Stanley","Yankees","118","399","470","107","63","83","18","57","106","1",".268",".360",".481",".841","120","3.1","104","38.5 %","1012416"
"2010","David Wright","Mets","157","587","670","166","87","103","29","69","161","9",".283",".354",".503",".856","129","3.4","107","38.7 %","3787"
"2004","Craig Wilson","Pirates","155","561","644","148","97","82","29","50","169","3",".264",".354",".499",".853","119","1.1","104","38.5 %","1015"
